Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Odisha,CNR,0.0010441354292623941,0.0010346634421604193,0.0010536074163643692,Pub,44658000,0.032296210466055505,215.82472751996914
2018,Odisha,CNR,8.226969411975457e-5,7.962739038918e-5,8.493439025482556e-5,Pri,44658000,0.00906989116898235,60.61103646320367
2018,Odisha,TestR,9.991043038201442e-4,9.89856240763133e-4,0.0010083747592816517,Pub,44658000,0.031592817133174945,211.12418611843637
2018,Odisha,TestR,6.914774508486721e-5,6.672936539925658e-5,7.158851717497425e-5,Pri,44658000,0.008315224812007003,55.567854662234154
2018,Odisha,TestR,0.006301356979712481,0.006278158448654217,0.0063245779031752426,SSM,44658000,0.07913058751157298,528.8031394931076
2018,Odisha,TestR,0.0013923821039903265,0.001381454610596086,0.0014033319897890635,NAAT,44658000,0.03728864942669303,249.1875203303564
2018,Odisha,TestR,0.007693739083702808,0.007668122172958932,0.00771937838685118,Bac,44658000,0.087375886047666,583.9037003388896
2018,Odisha,CNR,4.295758878588383e-4,4.235075462403153e-4,4.3566662188185767e-4,NAAT,44658000,0.020721760359955148,138.47656486267744
2018,Odisha,CNR,0.0011264051233821487,0.0011165748578082315,0.0011362577813605625,All,44658000,0.033543051961325274,224.15695046792217
2019,Odisha,CNR,0.0010889920895920363,0.0010793707226024354,0.0010986356768287262,Pub,45004000,0.032981906946397785,221.25919096544033
2019,Odisha,CNR,1.0227979735134654e-4,9.934672473557907e-5,1.0523509021420318e-4,Pri,45004000,0.010112830276159107,67.84194282368976
2019,Odisha,TestR,0.0010717047373566793,0.001062150031108346,0.001081281663852102,Pub,45004000,0.032719354918955945,219.49786014631795
2019,Odisha,TestR,8.330370633721446e-5,8.063727668651675e-5,8.597013598791218e-5,Pri,45004000,0.009126706242107553,61.22652770168288
2019,Odisha,CNR,6.691183005955026e-4,6.615634165851924e-4,6.766731846058128e-4,Bac,45004000,0.025858665497185095,173.4729109706013
2019,Odisha,CNR,5.221535863478802e-4,5.154875122211359e-4,5.288418807217136e-4,CDx,45004000,0.022844713655026282,153.25380880380888
2019,Odisha,TestR,0.00788789885343525,0.007862056706070571,0.007913763221047018,SSM,45004000,0.0884628730322118,593.4533667018122
2019,Odisha,TestR,0.0013160607945960359,0.0013054839569816017,0.0013266598524575594,NAAT,45004000,0.03625367262196981,243.20783776691422
2019,Odisha,CNR,0.0011912718869433827,0.001181206115011999,0.0012013598791218558,All,45004000,0.03449424239253213,231.40469643375258
2020,Odisha,CNR,9.23638368246968e-4,9.148180815876516e-4,9.324807056229328e-4,Pub,45350000,0.03037738073652286,204.56859866477367
2020,Odisha,CNR,7.997794928335171e-5,7.737596471885336e-5,8.260198456449835e-5,Pri,45350000,0.00894268152239473,60.22217133230875
2020,Odisha,TestR,8.987431091510474e-4,8.900330760749724e-4,9.074751929437707e-4,Pub,45350000,0.02996556974220248,201.7953642390162
2020,Odisha,TestR,7.684674751929438e-5,7.431091510474091e-5,7.940463065049614e-5,Pri,45350000,0.008765890833035172,59.03162024783747
2020,Odisha,CNR,0.0010036163175303197,9.944211686879823e-4,0.0010128335170893055,All,45350000,0.03166400277629956,213.2330213801885
2021,Odisha,CNR,9.85797443977591e-4,9.767156862745098e-4,9.949010854341737e-4,Pub,45696000,0.031381931861774195,212.13814551499487
2021,Odisha,CNR,1.6049544817927172e-4,1.5684086134453782e-4,1.64171918767507e-4,Pri,45696000,0.012667663138495018,85.63190367137153
2021,Odisha,CNR,0.0011462928921568629,0.0011364889705882354,0.0011561186974789917,All,45696000,0.03383753691925956,228.73774509690335
2018,Odisha,PrDetPub,0.9269626066039799,0.9246764606484703,0.9292288730294416,All,50303,0.26019787193967425,58.358038149538764
2019,Odisha,PrDetPub,0.9141423561889129,0.9117548310079833,0.9165112288293665,All,53612,0.28015372353459017,64.86753629927351
2020,Odisha,PrDetPub,0.9203102342136485,0.9178055103924068,0.9227929867733006,All,45514,0.27081230957116387,57.77512630443055
2021,Odisha,PrDetPub,0.8599874000114546,0.8570092209007083,0.8629464882304653,All,52381,0.3470001035057382,79.41755216376293
2019,Odisha,PrevUt,0.0016888470307538273,0.0010779088568177734,0.0023354691897718425,All,16699,0.04106086733692484,5.306074594939707
2019,Odisha,PrevAsym,0.0013394304037013113,8.383735553027128e-4,0.0019162824121204862,All,16699,0.03657371091227895,4.7262235529982926
2019,Odisha,PrevSym,1.1647220901750534e-4,-0,2.99419126893826e-4,All,16699,0.010791600587588103,1.3945403843197552
2019,Odisha,PrevExCS,2.3294441803501067e-4,5.9883825378765195e-5,4.7907060303012156e-4,All,16699,0.015260739003505597,1.9720630560983896
2019,Odisha,PrAsym,0.7931034482758621,0.6206896551724138,0.9310344827586207,All,29,0.40508069394726653,2.1814262970944425
2019,Odisha,PrSym,0.06896551724137931,-0,0.1724137931034483,All,29,0.2533954906327426,1.364576478442026
