Year,State,Index,M,L,U,Tag,N,Error,Std
2000,India,IncR,0.0034100000000000003,0.00117,0.00683,All,1059633675,0.0014438775510204082,47.00112357566489
2000,India,MorR,6.7e-4,5.700000000000001e-4,7.9e-4,All,1059633675,5.6122448979591816e-5,1.8268987962272565
2001,India,IncR,0.0034000000000000002,0.00117,0.0068000000000000005,All,1078970907,0.0014362244897959185,47.176660498534225
2001,India,MorR,6.500000000000001e-4,5.600000000000001e-4,7.5e-4,All,1078970907,4.8469387755102034e-5,1.5921075479079043
2002,India,IncR,0.0033900000000000002,0.00117,0.00676,All,1098313038,0.0014260204081632654,47.25946603612074
2002,India,MorR,6.3e-4,5.4e-4,7.2e-4,All,1098313038,4.591836734693879e-5,1.5217717149376986
2003,India,IncR,0.00337,0.00117,0.0067,All,1117415124,0.0014107142857142858,47.15701826298348
2003,India,MorR,6.000000000000001e-4,5.200000000000001e-4,6.900000000000001e-4,All,1117415124,4.336734693877551e-5,1.4496732558240852
2004,India,IncR,0.00334,0.00117,0.006600000000000001,All,1136264583,0.0013852040816326532,46.6931848814718
2004,India,MorR,5.700000000000001e-4,4.900000000000001e-4,6.500000000000001e-4,All,1136264583,4.0816326530612245e-5,1.3758581180544176
2005,India,IncR,0.0032900000000000004,0.00118,0.0064600000000000005,All,1154638713,0.001346938775510204,45.76894615619011
2005,India,MorR,5.5e-4,4.8000000000000007e-4,6.3e-4,All,1154638713,3.826530612244897e-5,1.3002541521644915
2006,India,IncR,0.0032300000000000002,0.00118,0.0062900000000000005,All,1172373788,0.0013035714285714287,44.634213149765785
2006,India,MorR,5.300000000000001e-4,4.6e-4,6.100000000000001e-4,All,1172373788,3.8265306122449e-5,1.3102019515586831
2007,India,IncR,0.00316,0.00119,0.00608,All,1189691810,0.0012474489795918369,43.026897111825875
2007,India,MorR,5.300000000000001e-4,4.8000000000000007e-4,5.700000000000001e-4,All,1189691810,2.2959183673469393e-5,0.7919060818127464
2008,India,IncR,0.0030900000000000003,0.0012000000000000001,0.00585,All,1206734806,0.0011862244897959183,41.20717153560964
2008,India,MorR,4.900000000000001e-4,4.3000000000000004e-4,5.600000000000001e-4,All,1206734806,3.3163265306122456e-5,1.1520284515331731
